panel_id,manufacturer,original_wattage,current_wattage,years_operating,degradation_rate,temperature,dust_level,efficiency,installation_date,farm,block,latitude,longitude
PANEL-00018,SunPower,550,506.9,6,1.35,31.0,9.3,92.2,2016-09-03,"Bhadla Solar Park, Rajasthan",Block C3,27.5298,71.89677
PANEL-00019,SunPower,500,460.6,7,1.17,38.9,14.8,92.1,2019-01-23,"Bhadla Solar Park, Rajasthan",Block C4,27.5298,71.90653
PANEL-00020,Panasonic,500,449.4,10,1.06,43.3,21.2,89.9,2023-11-03,"Bhadla Solar Park, Rajasthan",Block C5,27.5298,71.91627
PANEL-00021,SunPower,550,514.6,9,0.74,39.2,6.4,93.6,2014-05-14,"Bhadla Solar Park, Rajasthan",Block C6,27.5298,71.92602
PANEL-00022,Trina,400,351.1,14,0.93,40.9,7.9,87.8,2015-03-07,"Bhadla Solar Park, Rajasthan",Block C7,27.5298,71.93577
PANEL-00023,Jinko,400,383.3,3,1.41,37.0,6.2,95.8,2022-01-22,"Bhadla Solar Park, Rajasthan",Block C8,27.5298,71.94553
PANEL-00024,Trina,500,465.9,10,0.7,41.4,17.4,93.2,2019-06-20,"Bhadla Solar Park, Rajasthan",Block D1,27.5408,71.87727
PANEL-00025,Canadian Solar,500,444.1,9,1.31,46.1,15.8,88.8,2019-04-13,"Bhadla Solar Park, Rajasthan",Block D2,27.5408,71.88702
PANEL-00026,Trina,450,389.5,11,1.3,53.7,22.4,86.6,2017-08-12,"Bhadla Solar Park, Rajasthan",Block D3,27.5408,71.89677
PANEL-00027,Canadian Solar,400,369.4,13,0.61,41.8,5.7,92.3,2015-08-16,"Bhadla Solar Park, Rajasthan",Block D4,27.5408,71.90653
PANEL-00028,SunPower,450,404.7,8,1.32,20.0,5.6,89.9,2011-12-31,"Bhadla Solar Park, Rajasthan",Block D5,27.5408,71.91627
PANEL-00029,Panasonic,400,368.4,11,0.74,43.5,4.2,92.1,2016-05-28,"Bhadla Solar Park, Rajasthan",Block D6,27.5408,71.92602
PANEL-00030,LG,400,341.0,15,1.06,33.4,6.3,85.2,2023-02-13,"Bhadla Solar Park, Rajasthan",Block D7,27.5408,71.93577
PANEL-00031,Jinko,500,427.6,13,1.2,38.5,17.8,85.5,2022-03-05,"Bhadla Solar Park, Rajasthan",Block D8,27.5408,71.94553
PANEL-00032,Jinko,500,500.0,0,1.5,35.6,8.6,100.0,2017-02-21,"Bhadla Solar Park, Rajasthan",Block E1,27.5518,71.87727
PANEL-00033,LG,500,459.7,13,0.64,39.2,12.2,91.9,2021-11-28,"Bhadla Solar Park, Rajasthan",Block E2,27.5518,71.88702
PANEL-00034,Panasonic,450,381.6,15,1.09,37.9,6.1,84.8,2014-08-21,"Bhadla Solar Park, Rajasthan",Block E3,27.5518,71.89677
PANEL-00035,Canadian Solar,500,467.0,7,0.97,33.1,24.6,93.4,2021-05-15,"Bhadla Solar Park, Rajasthan",Block E4,27.5518,71.90653
PANEL-00036,Canadian Solar,400,368.2,14,0.59,35.1,4.7,92.0,2021-09-28,"Bhadla Solar Park, Rajasthan",Block E5,27.5518,71.91627
PANEL-00037,Trina,450,438.9,3,0.83,49.2,5.5,97.5,2022-11-27,"Bhadla Solar Park, Rajasthan",Block E6,27.5518,71.92602
PANEL-00038,Trina,450,438.3,2,1.31,32.8,23.5,97.4,2021-04-16,"Bhadla Solar Park, Rajasthan",Block E7,27.5518,71.93577
PANEL-00039,LG,550,471.8,15,1.02,37.3,20.9,85.8,2021-09-20,"Bhadla Solar Park, Rajasthan",Block E8,27.5518,71.94553
PANEL-00040,Jinko,500,436.1,11,1.24,42.1,17.4,87.2,2025-12-08,"Bhadla Solar Park, Rajasthan",Block F1,27.56307,71.87727
PANEL-00041,Canadian Solar,450,417.7,11,0.67,25.6,24.6,92.8,2016-09-05,"Bhadla Solar Park, Rajasthan",Block F2,27.56307,71.88702
PANEL-00042,Canadian Solar,500,500.0,0,0.74,42.6,8.5,100.0,2017-12-22,"Bhadla Solar Park, Rajasthan",Block F3,27.56307,71.89677
PANEL-00043,SunPower,450,439.0,2,1.23,47.8,22.4,97.6,2017-12-01,"Bhadla Solar Park, Rajasthan",Block F4,27.56307,71.90653
PANEL-00044,SunPower,500,500.0,0,1.14,42.3,0.2,100.0,2019-08-27,"Bhadla Solar Park, Rajasthan",Block F5,27.56307,71.91627
PANEL-00045,Jinko,500,455.3,8,1.16,48.5,0.1,91.1,2013-01-14,"Bhadla Solar Park, Rajasthan",Block F6,27.56307,71.92602
PANEL-00046,SunPower,450,445.6,1,0.99,41.5,4.4,99.0,2014-05-09,"Bhadla Solar Park, Rajasthan",Block F7,27.56307,71.93577
PANEL-00047,Trina,500,486.6,4,0.68,39.8,9.2,97.3,2012-04-08,"Bhadla Solar Park, Rajasthan",Block F8,27.56307,71.94553
PANEL-00048,LG,550,537.3,2,1.16,31.3,9.2,97.7,2017-03-21,"Bhadla Solar Park, Rajasthan",Block A1,27.5078,71.87923
PANEL-00049,Jinko,550,529.8,5,0.74,41.5,24.3,96.3,2017-03-31,"Bhadla Solar Park, Rajasthan",Block A2,27.5078,71.88898
PANEL-00050,LG,500,486.2,2,1.39,52.1,12.6,97.2,2024-01-11,"Bhadla Solar Park, Rajasthan",Block A3,27.5078,71.89872
PANEL-00051,LG,450,450.0,0,0.7,45.4,18.1,100.0,2013-08-21,"Bhadla Solar Park, Rajasthan",Block A4,27.5078,71.90848
PANEL-00052,Canadian Solar,500,492.2,3,0.52,29.3,23.5,98.4,2019-09-29,"Bhadla Solar Park, Rajasthan",Block A5,27.5078,71.91823
PANEL-00053,Canadian Solar,550,457.0,13,1.41,44.8,9.3,83.1,2023-10-02,"Bhadla Solar Park, Rajasthan",Block A6,27.5078,71.92798
PANEL-00054,Trina,550,518.8,7,0.83,60.0,24.5,94.3,2023-07-15,"Bhadla Solar Park, Rajasthan",Block A7,27.5078,71.93773
PANEL-00055,Panasonic,450,401.8,14,0.81,55.5,4.8,89.3,2023-05-31,"Bhadla Solar Park, Rajasthan",Block A8,27.5078,71.94748
PANEL-00056,LG,550,474.1,15,0.99,26.6,21.1,86.2,2011-10-03,"Bhadla Solar Park, Rajasthan",Block B1,27.5188,71.87923
PANEL-00057,SunPower,400,384.3,7,0.57,23.8,5.2,96.1,2015-08-31,"Bhadla Solar Park, Rajasthan",Block B2,27.5188,71.88898
PANEL-00058,SunPower,450,431.0,5,0.86,31.4,8.1,95.8,2017-12-17,"Bhadla Solar Park, Rajasthan",Block B3,27.5188,71.89872
PANEL-00059,Canadian Solar,450,450.0,0,0.64,29.7,17.7,100.0,2018-12-21,"Bhadla Solar Park, Rajasthan",Block B4,27.5188,71.90848
PANEL-00060,Canadian Solar,550,488.4,9,1.31,45.2,20.0,88.8,2020-03-03,"Bhadla Solar Park, Rajasthan",Block B5,27.5188,71.91823
PANEL-00061,Trina,400,367.5,7,1.2,60.0,19.9,91.9,2023-12-30,"Bhadla Solar Park, Rajasthan",Block B6,27.5188,71.92798
PANEL-00062,Jinko,550,540.8,2,0.84,32.3,14.5,98.3,2024-04-26,"Bhadla Solar Park, Rajasthan",Block B7,27.5188,71.93773
PANEL-00063,Trina,550,539.4,2,0.97,37.6,13.6,98.1,2023-07-06,"Bhadla Solar Park, Rajasthan",Block B8,27.5188,71.94748
PANEL-00064,Trina,500,473.3,5,1.09,35.3,3.2,94.7,2018-02-06,"Bhadla Solar Park, Rajasthan",Block C1,27.5298,71.87923
PANEL-00065,Trina,400,369.6,11,0.72,50.9,15.6,92.4,2012-02-07,"Bhadla Solar Park, Rajasthan",Block C2,27.5298,71.88898
PANEL-00066,Canadian Solar,400,389.1,5,0.55,60.0,15.9,97.3,2014-09-15,"Bhadla Solar Park, Rajasthan",Block C3,27.5298,71.89872
PANEL-00067,Canadian Solar,500,494.9,1,1.02,58.4,8.1,99.0,2013-08-23,"Bhadla Solar Park, Rajasthan",Block C4,27.5298,71.90848
PANEL-00068,Canadian Solar,500,473.6,7,0.77,32.1,0.6,94.7,2026-05-03,"Bhadla Solar Park, Rajasthan",Block C5,27.5298,71.91823
PANEL-00069,SunPower,500,419.8,13,1.34,38.9,17.4,84.0,2023-11-19,"Bhadla Solar Park, Rajasthan",Block C6,27.5298,71.92798
PANEL-00070,Jinko,450,450.0,0,0.67,35.3,13.7,100.0,2025-02-14,"Bhadla Solar Park, Rajasthan",Block C7,27.5298,71.93773
PANEL-00071,Jinko,400,364.3,8,1.16,33.5,7.0,91.1,2017-07-02,"Bhadla Solar Park, Rajasthan",Block C8,27.5298,71.94748
PANEL-00072,Canadian Solar,500,430.6,12,1.24,60.0,10.5,86.1,2018-01-14,"Bhadla Solar Park, Rajasthan",Block D1,27.5408,71.87923
PANEL-00073,Trina,450,416.5,9,0.86,50.3,18.9,92.6,2019-02-21,"Bhadla Solar Park, Rajasthan",Block D2,27.5408,71.88898
PANEL-00074,Trina,400,371.4,12,0.62,44.4,11.9,92.8,2020-06-14,"Bhadla Solar Park, Rajasthan",Block D3,27.5408,71.89872
PANEL-00075,Canadian Solar,500,457.1,9,0.99,47.7,11.8,91.4,2011-11-06,"Bhadla Solar Park, Rajasthan",Block D4,27.5408,71.90848
PANEL-00076,Canadian Solar,450,398.3,13,0.93,56.3,15.9,88.5,2018-11-08,"Bhadla Solar Park, Rajasthan",Block D5,27.5408,71.91823
PANEL-00077,LG,500,487.0,3,0.87,25.7,15.6,97.4,2019-11-03,"Bhadla Solar Park, Rajasthan",Block D6,27.5408,71.92798
PANEL-00078,LG,400,325.9,15,1.36,30.2,1.8,81.5,2014-01-30,"Bhadla Solar Park, Rajasthan",Block D7,27.5408,71.93773
PANEL-00079,Trina,500,443.4,11,1.09,44.6,23.5,88.7,2022-01-13,"Bhadla Solar Park, Rajasthan",Block D8,27.5408,71.94748
PANEL-00080,Jinko,400,362.6,11,0.89,33.8,13.6,90.7,2011-11-27,"Bhadla Solar Park, Rajasthan",Block E1,27.5518,71.87923
PANEL-00081,SunPower,500,486.9,2,1.32,60.0,16.3,97.4,2023-09-26,"Bhadla Solar Park, Rajasthan",Block E2,27.5518,71.88898
PANEL-00082,Panasonic,450,413.1,11,0.77,34.5,1.0,91.8,2024-08-04,"Bhadla Solar Park, Rajasthan",Block E3,27.5518,71.89872
PANEL-00083,SunPower,450,442.5,2,0.84,27.3,16.4,98.3,2022-03-16,"Bhadla Solar Park, Rajasthan",Block E4,27.5518,71.90848
PANEL-00084,Trina,400,336.8,13,1.31,33.8,17.4,84.2,2022-07-03,"Bhadla Solar Park, Rajasthan",Block E5,27.5518,71.91823
PANEL-00085,SunPower,550,478.8,10,1.38,36.4,18.4,87.1,2017-06-27,"Bhadla Solar Park, Rajasthan",Block E6,27.5518,71.92798
PANEL-00086,SunPower,450,409.5,12,0.78,45.5,20.2,91.0,2023-08-01,"Bhadla Solar Park, Rajasthan",Block E7,27.5518,71.93773
PANEL-00087,LG,550,500.4,15,0.63,32.9,6.3,91.0,2020-10-14,"Bhadla Solar Park, Rajasthan",Block E8,27.5518,71.94748
PANEL-00088,Trina,450,408.7,7,1.37,24.7,17.0,90.8,2020-04-14,"Bhadla Solar Park, Rajasthan",Block F1,27.56307,71.87923
PANEL-00089,Panasonic,550,518.3,8,0.74,43.6,9.4,94.2,2015-11-01,"Bhadla Solar Park, Rajasthan",Block F2,27.56307,71.88898
PANEL-00090,LG,450,395.1,13,1.0,24.6,2.5,87.8,2025-07-28,"Bhadla Solar Park, Rajasthan",Block F3,27.56307,71.89872
PANEL-00091,Canadian Solar,500,421.9,12,1.41,31.6,2.3,84.4,2019-10-21,"Bhadla Solar Park, Rajasthan",Block F4,27.56307,71.90848
PANEL-00092,Jinko,500,425.8,11,1.45,41.0,15.8,85.2,2013-01-07,"Bhadla Solar Park, Rajasthan",Block F5,27.56307,71.91823
PANEL-00093,Jinko,550,532.8,4,0.79,46.0,8.2,96.9,2018-08-11,"Bhadla Solar Park, Rajasthan",Block F6,27.56307,71.92798
PANEL-00094,SunPower,450,427.9,4,1.25,46.2,2.3,95.1,2012-07-10,"Bhadla Solar Park, Rajasthan",Block F7,27.56307,71.93773
PANEL-00095,LG,400,380.4,9,0.56,46.3,13.7,95.1,2023-06-28,"Bhadla Solar Park, Rajasthan",Block F8,27.56307,71.94748
PANEL-00096,Panasonic,400,389.0,2,1.39,31.7,3.6,97.2,2024-01-17,"Bhadla Solar Park, Rajasthan",Block A1,27.5078,71.88117
PANEL-00097,Trina,450,386.8,11,1.37,36.8,21.0,86.0,2012-02-29,"Bhadla Solar Park, Rajasthan",Block A2,27.5078,71.89092
PANEL-00098,Trina,450,412.5,12,0.72,48.9,3.7,91.7,2017-10-17,"Bhadla Solar Park, Rajasthan",Block A3,27.5078,71.90068
PANEL-00099,SunPower,400,371.1,5,1.49,37.7,9.4,92.8,2021-07-28,"Bhadla Solar Park, Rajasthan",Block A4,27.5078,71.91043
PANEL-00100,Canadian Solar,400,374.4,5,1.31,33.4,2.1,93.6,2018-08-26,"Bhadla Solar Park, Rajasthan",Block A5,27.5078,71.92018
PANEL-00101,LG,400,376.5,5,1.21,53.6,6.2,94.1,2016-10-16,"Bhadla Solar Park, Rajasthan",Block A6,27.5078,71.92992
PANEL-00102,SunPower,500,472.6,6,0.93,34.3,14.3,94.5,2025-05-29,"Bhadla Solar Park, Rajasthan",Block A7,27.5078,71.93967
PANEL-00103,SunPower,450,383.5,12,1.32,25.1,18.6,85.2,2021-03-10,"Bhadla Solar Park, Rajasthan",Block A8,27.5078,71.94943
PANEL-00104,Panasonic,550,467.7,11,1.46,25.5,21.7,85.0,2012-11-19,"Bhadla Solar Park, Rajasthan",Block B1,27.5188,71.88117
PANEL-00105,LG,450,424.2,4,1.46,31.6,0.3,94.3,2021-08-01,"Bhadla Solar Park, Rajasthan",Block B2,27.5188,71.89092
PANEL-00106,Canadian Solar,550,452.0,14,1.39,42.2,1.8,82.2,2023-03-26,"Bhadla Solar Park, Rajasthan",Block B3,27.5188,71.90068
PANEL-00107,LG,550,534.0,2,1.47,40.1,13.1,97.1,2023-03-20,"Bhadla Solar Park, Rajasthan",Block B4,27.5188,71.91043
PANEL-00108,Jinko,450,450.0,0,1.2,60.0,14.6,100.0,2019-04-03,"Bhadla Solar Park, Rajasthan",Block B5,27.5188,71.92018
PANEL-00109,SunPower,400,387.1,6,0.55,32.3,7.0,96.8,2019-01-13,"Bhadla Solar Park, Rajasthan",Block B6,27.5188,71.92992
PANEL-00110,Canadian Solar,550,445.8,15,1.39,60.0,6.9,81.1,2011-09-08,"Bhadla Solar Park, Rajasthan",Block B7,27.5188,71.93967
PANEL-00111,Panasonic,550,534.3,3,0.96,31.9,8.8,97.1,2025-03-06,"Bhadla Solar Park, Rajasthan",Block B8,27.5188,71.94943
PANEL-00112,Jinko,550,500.1,11,0.86,36.8,0.8,90.9,2012-02-02,"Bhadla Solar Park, Rajasthan",Block C1,27.5298,71.88117
PANEL-00113,Canadian Solar,400,400.0,0,0.91,23.4,15.1,100.0,2024-02-15,"Bhadla Solar Park, Rajasthan",Block C2,27.5298,71.89092
PANEL-00114,Canadian Solar,400,337.3,12,1.41,47.4,10.5,84.3,2018-10-17,"Bhadla Solar Park, Rajasthan",Block C3,27.5298,71.90068
PANEL-00115,SunPower,550,459.9,13,1.37,54.8,1.1,83.6,2023-11-16,"Bhadla Solar Park, Rajasthan",Block C4,27.5298,71.91043
PANEL-00116,Canadian Solar,500,500.0,0,1.28,43.4,9.4,100.0,2015-04-09,"Bhadla Solar Park, Rajasthan",Block C5,27.5298,71.92018
PANEL-00117,SunPower,450,399.7,8,1.47,39.9,21.1,88.8,2015-09-14,"Bhadla Solar Park, Rajasthan",Block C6,27.5298,71.92992
PANEL-00118,LG,450,447.6,1,0.54,42.2,13.4,99.5,2022-02-01,"Bhadla Solar Park, Rajasthan",Block C7,27.5298,71.93967
PANEL-00119,Trina,550,512.2,5,1.41,35.2,14.6,93.1,2016-09-12,"Bhadla Solar Park, Rajasthan",Block C8,27.5298,71.94943
PANEL-00120,LG,550,522.9,4,1.26,26.5,5.1,95.1,2021-01-17,"Bhadla Solar Park, Rajasthan",Block D1,27.5408,71.88117
PANEL-00121,LG,500,492.3,2,0.77,33.6,5.2,98.5,2014-03-19,"Bhadla Solar Park, Rajasthan",Block D2,27.5408,71.89092
PANEL-00122,Jinko,450,450.0,0,1.26,40.0,11.9,100.0,2024-07-18,"Bhadla Solar Park, Rajasthan",Block D3,27.5408,71.90068
PANEL-00123,SunPower,550,507.2,10,0.81,35.7,20.4,92.2,2026-01-04,"Bhadla Solar Park, Rajasthan",Block D4,27.5408,71.91043
PANEL-00124,Trina,400,390.7,4,0.59,44.1,12.0,97.7,2017-09-05,"Bhadla Solar Park, Rajasthan",Block D5,27.5408,71.92018
PANEL-00125,SunPower,400,382.4,4,1.12,53.4,17.6,95.6,2014-04-02,"Bhadla Solar Park, Rajasthan",Block D6,27.5408,71.92992
PANEL-00126,SunPower,450,433.1,6,0.64,22.7,10.9,96.2,2014-03-21,"Bhadla Solar Park, Rajasthan",Block D7,27.5408,71.93967
PANEL-00127,LG,550,545.3,1,0.85,54.4,12.8,99.1,2022-12-08,"Bhadla Solar Park, Rajasthan",Block D8,27.5408,71.94943
PANEL-00128,Jinko,550,503.6,11,0.8,59.1,19.9,91.6,2026-04-12,"Bhadla Solar Park, Rajasthan",Block E1,27.5518,71.88117
PANEL-00129,LG,550,500.4,7,1.34,42.3,19.2,91.0,2018-05-10,"Bhadla Solar Park, Rajasthan",Block E2,27.5518,71.89092
PANEL-00130,SunPower,450,423.9,4,1.48,20.0,15.8,94.2,2016-03-09,"Bhadla Solar Park, Rajasthan",Block E3,27.5518,71.90068
PANEL-00131,Jinko,400,377.6,10,0.58,39.1,3.2,94.4,2017-03-22,"Bhadla Solar Park, Rajasthan",Block E4,27.5518,71.91043
PANEL-00132,Jinko,500,420.9,15,1.14,34.9,22.4,84.2,2017-09-17,"Bhadla Solar Park, Rajasthan",Block E5,27.5518,71.92018
PANEL-00133,Jinko,500,444.6,10,1.17,29.4,4.3,88.9,2018-02-08,"Bhadla Solar Park, Rajasthan",Block E6,27.5518,71.92992
PANEL-00134,Jinko,550,535.6,2,1.32,27.2,0.8,97.4,2025-03-22,"Bhadla Solar Park, Rajasthan",Block E7,27.5518,71.93967
PANEL-00135,LG,450,396.6,9,1.39,27.0,3.2,88.1,2021-11-08,"Bhadla Solar Park, Rajasthan",Block E8,27.5518,71.94943
PANEL-00136,Panasonic,450,407.6,12,0.82,39.6,17.2,90.6,2012-06-26,"Bhadla Solar Park, Rajasthan",Block F1,27.56307,71.88117
PANEL-00137,SunPower,400,367.2,13,0.66,31.0,9.4,91.8,2014-07-09,"Bhadla Solar Park, Rajasthan",Block F2,27.56307,71.89092
PANEL-00138,Canadian Solar,500,441.7,9,1.37,41.8,24.7,88.3,2025-10-29,"Bhadla Solar Park, Rajasthan",Block F3,27.56307,71.90068
PANEL-00139,SunPower,400,327.2,14,1.42,32.2,5.9,81.8,2015-05-14,"Bhadla Solar Park, Rajasthan",Block F4,27.56307,71.91043
PANEL-00140,Trina,550,516.8,6,1.03,37.5,3.7,94.0,2013-01-09,"Bhadla Solar Park, Rajasthan",Block F5,27.56307,71.92018
PANEL-00141,Trina,450,418.9,6,1.19,41.3,21.1,93.1,2022-06-18,"Bhadla Solar Park, Rajasthan",Block F6,27.56307,71.92992
PANEL-00142,SunPower,400,339.1,12,1.37,28.3,2.6,84.8,2014-02-11,"Bhadla Solar Park, Rajasthan",Block F7,27.56307,71.93967
PANEL-00143,LG,400,377.7,11,0.52,23.4,8.1,94.4,2012-01-03,"Bhadla Solar Park, Rajasthan",Block F8,27.56307,71.94943
PANEL-00144,Trina,400,383.7,5,0.83,56.9,19.7,95.9,2020-10-01,"Bhadla Solar Park, Rajasthan",Block A1,27.5078,71.88312
PANEL-00145,Canadian Solar,450,447.4,1,0.59,48.8,13.4,99.4,2013-09-26,"Bhadla Solar Park, Rajasthan",Block A2,27.5078,71.89287
PANEL-00146,Jinko,400,370.6,7,1.09,20.0,8.4,92.7,2019-02-26,"Bhadla Solar Park, Rajasthan",Block A3,27.5078,71.90263
PANEL-00147,Trina,450,407.1,9,1.11,50.7,6.1,90.5,2020-03-09,"Bhadla Solar Park, Rajasthan",Block A4,27.5078,71.91237
PANEL-00148,Trina,400,361.9,12,0.83,33.8,12.2,90.5,2017-04-15,"Bhadla Solar Park, Rajasthan",Block A5,27.5078,71.92212
PANEL-00149,Trina,400,377.1,10,0.59,27.4,20.1,94.3,2016-06-05,"Bhadla Solar Park, Rajasthan",Block A6,27.5078,71.93187
PANEL-00150,Jinko,500,461.1,6,1.34,41.7,22.9,92.2,2024-11-20,"Bhadla Solar Park, Rajasthan",Block A7,27.5078,71.94163
PANEL-00151,Panasonic,450,433.2,5,0.76,49.1,4.3,96.3,2012-11-06,"Bhadla Solar Park, Rajasthan",Block A8,27.5078,71.95137
PANEL-00152,Canadian Solar,500,414.7,13,1.43,60.0,7.0,82.9,2023-07-13,"Bhadla Solar Park, Rajasthan",Block B1,27.5188,71.88312
PANEL-00153,LG,500,486.2,3,0.93,56.2,12.7,97.2,2015-02-18,"Bhadla Solar Park, Rajasthan",Block B2,27.5188,71.89287
PANEL-00154,Jinko,450,420.5,11,0.61,24.8,14.5,93.4,2015-01-23,"Bhadla Solar Park, Rajasthan",Block B3,27.5188,71.90263
PANEL-00155,Canadian Solar,500,435.5,14,0.98,48.0,13.3,87.1,2016-05-27,"Bhadla Solar Park, Rajasthan",Block B4,27.5188,71.91237
PANEL-00156,Jinko,500,479.4,5,0.84,34.0,17.0,95.9,2018-11-25,"Bhadla Solar Park, Rajasthan",Block B5,27.5188,71.92212
PANEL-00157,SunPower,400,366.3,8,1.1,47.6,11.8,91.6,2021-01-27,"Bhadla Solar Park, Rajasthan",Block B6,27.5188,71.93187
PANEL-00158,Jinko,400,393.2,2,0.85,41.7,4.5,98.3,2022-05-10,"Bhadla Solar Park, Rajasthan",Block B7,27.5188,71.94163
PANEL-00159,SunPower,450,450.0,0,1.24,40.9,14.4,100.0,2011-09-07,"Bhadla Solar Park, Rajasthan",Block B8,27.5188,71.95137
PANEL-00160,Trina,500,455.3,7,1.33,47.6,20.6,91.1,2018-09-20,"Bhadla Solar Park, Rajasthan",Block C1,27.5298,71.88312
PANEL-00161,LG,500,446.1,10,1.13,46.4,22.7,89.2,2025-01-04,"Bhadla Solar Park, Rajasthan",Block C2,27.5298,71.89287
PANEL-00162,SunPower,450,394.6,12,1.09,35.0,17.8,87.7,2016-05-09,"Bhadla Solar Park, Rajasthan",Block C3,27.5298,71.90263
PANEL-00163,Panasonic,500,454.0,12,0.8,59.1,18.7,90.8,2020-08-28,"Bhadla Solar Park, Rajasthan",Block C4,27.5298,71.91237
PANEL-00164,LG,550,550.0,0,0.73,37.6,13.6,100.0,2016-07-23,"Bhadla Solar Park, Rajasthan",Block C5,27.5298,71.92212
PANEL-00165,Trina,500,462.0,7,1.12,48.2,2.9,92.4,2019-06-19,"Bhadla Solar Park, Rajasthan",Block C6,27.5298,71.93187
PANEL-00166,Trina,400,371.4,6,1.23,31.2,22.0,92.8,2011-11-06,"Bhadla Solar Park, Rajasthan",Block C7,27.5298,71.94163
PANEL-00167,Canadian Solar,500,481.6,3,1.24,45.1,14.3,96.3,2020-08-14,"Bhadla Solar Park, Rajasthan",Block C8,27.5298,71.95137
PANEL-00168,Canadian Solar,400,375.6,5,1.25,49.7,3.6,93.9,2020-07-06,"Bhadla Solar Park, Rajasthan",Block D1,27.5408,71.88312
PANEL-00169,LG,500,470.4,5,1.21,47.2,12.3,94.1,2021-07-19,"Bhadla Solar Park, Rajasthan",Block D2,27.5408,71.89287
PANEL-00170,SunPower,400,400.0,0,0.6,20.0,11.4,100.0,2017-10-25,"Bhadla Solar Park, Rajasthan",Block D3,27.5408,71.90263
PANEL-00171,Canadian Solar,450,429.9,7,0.65,46.8,5.7,95.5,2018-09-27,"Bhadla Solar Park, Rajasthan",Block D4,27.5408,71.91237
PANEL-00172,Panasonic,500,431.5,12,1.22,53.9,13.6,86.3,2021-08-19,"Bhadla Solar Park, Rajasthan",Block D5,27.5408,71.92212
PANEL-00173,Trina,450,413.4,10,0.85,50.1,4.5,91.9,2018-08-30,"Bhadla Solar Park, Rajasthan",Block D6,27.5408,71.93187
PANEL-00174,Canadian Solar,500,482.1,5,0.73,23.2,15.4,96.4,2020-06-14,"Bhadla Solar Park, Rajasthan",Block D7,27.5408,71.94163
PANEL-00175,LG,500,463.0,12,0.64,33.9,2.5,92.6,2022-03-02,"Bhadla Solar Park, Rajasthan",Block D8,27.5408,71.95137
PANEL-00176,Trina,550,487.4,11,1.09,52.0,9.4,88.6,2012-08-31,"Bhadla Solar Park, Rajasthan",Block E1,27.5518,71.88312
